university,cycle,party,donor_count,donation_count,total_amount
Clemson University,2024,OTH,8,70,2320.00
Clemson University,2026,DEM,13,85,8050.00
Clemson University,2026,REP,1,3,300.00
Clemson University,2026,OTH,8,39,1436.00
Colby College,2008,DEM,15,29,11700.00
Colby College,2008,REP,2,3,750.00
Colby College,2008,OTH,1,2,750.00
Colby College,2012,DEM,5,13,4000.00
Colby College,2012,OTH,1,2,500.00
Colby College,2016,DEM,20,213,11281.00
Colby College,2016,OTH,2,3,367.00
Colby College,2020,DEM,33,623,32731.00
Colby College,2020,OTH,6,18,1731.00
Colby College,2024,DEM,17,173,14344.00
Colby College,2024,OTH,3,18,1545.00
Colby College,2026,DEM,7,55,7830.00
Colby College,2026,OTH,1,6,300.00
Colorado State University,2008,DEM,38,80,36362.00
Colorado State University,2008,OTH,1,1,250.00
Colorado State University,2012,DEM,36,105,39817.00
Colorado State University,2012,REP,3,4,1150.00
Colorado State University,2012,OTH,3,7,2450.00
Colorado State University,2016,DEM,70,472,49552.00
Colorado State University,2016,REP,6,27,1097.00
Colorado State University,2016,OTH,11,23,3379.00
Colorado State University,2020,DEM,136,1270,152922.00
Colorado State University,2020,REP,13,95,11152.00
Colorado State University,2020,OTH,17,116,7147.00
Colorado State University,2024,DEM,83,617,92905.00
Colorado State University,2024,REP,5,30,1889.00
Colorado State University,2024,OTH,20,265,11966.00
Colorado State University,2026,DEM,19,102,10676.00
Colorado State University,2026,REP,2,5,250.00
Colorado State University,2026,OTH,7,78,3154.00
Columbia University,2008,DEM,404,829,517434.00
Columbia University,2008,REP,18,28,37001.00
Columbia University,2008,OTH,35,60,29177.00
Columbia University,2012,DEM,318,801,536297.00
Columbia University,2012,REP,22,36,46950.00
Columbia University,2012,OTH,26,48,20262.00
Columbia University,2016,DEM,448,4907,1242787.00
Columbia University,2016,REP,21,32,25959.00
Columbia University,2016,OTH,64,349,97490.00
Columbia University,2020,DEM,771,10898,2041818.00
Columbia University,2020,REP,16,54,42864.00
Columbia University,2020,OTH,205,1470,670894.00
Columbia University,2024,DEM,476,4961,1312993.00
Columbia University,2024,REP,15,67,59796.00
Columbia University,2024,OTH,150,1500,654982.00
Columbia University,2026,DEM,138,961,239250.00
Columbia University,2026,REP,4,4,17000.00
Columbia University,2026,OTH,66,724,185278.00
Cornell University,2008,DEM,221,490,213773.00
Cornell University,2008,REP,11,17,8600.00
Cornell University,2008,OTH,28,51,24850.00
Cornell University,2012,DEM,227,742,356266.00
Cornell University,2012,REP,12,19,17360.00
Cornell University,2012,OTH,22,53,23150.00
Cornell University,2016,DEM,321,3369,433695.00
Cornell University,2016,REP,9,12,2850.00
Cornell University,2016,OTH,39,230,29735.00
Cornell University,2020,DEM,441,6312,953179.00
Cornell University,2020,REP,10,40,7538.00
Cornell University,2020,OTH,109,521,102704.00
Cornell University,2024,DEM,309,3052,536625.00
Cornell University,2024,REP,15,82,5425.00
Cornell University,2024,OTH,77,433,56993.00
Cornell University,2026,DEM,89,455,94072.00
Cornell University,2026,REP,2,58,1661.00
Cornell University,2026,OTH,25,169,15775.00
Dartmouth College,2008,DEM,81,136,77396.00
Dartmouth College,2008,REP,5,7,6650.00
Dartmouth College,2008,OTH,4,5,1450.00
Dartmouth College,2012,DEM,70,115,61525.00
Dartmouth College,2012,REP,8,14,91450.00
Dartmouth College,2012,OTH,5,7,6650.00
Dartmouth College,2016,DEM,162,1535,241742.00
Dartmouth College,2016,REP,3,3,13350.00
Dartmouth College,2016,OTH,13,66,80632.00
Dartmouth College,2020,DEM,219,3945,408311.00
Dartmouth College,2020,REP,5,21,3472.00
Dartmouth College,2020,OTH,39,314,30240.00
Dartmouth College,2024,DEM,118,2458,348520.00
Dartmouth College,2024,REP,4,9,2400.00
Dartmouth College,2024,OTH,25,501,28484.00
Dartmouth College,2026,DEM,45,410,55819.00
Dartmouth College,2026,REP,1,2,40.00
Dartmouth College,2026,OTH,14,141,7633.00
Davidson College,2008,DEM,9,18,9700.00
Davidson College,2008,OTH,1,1,500.00
Davidson College,2012,DEM,10,11,6100.00
Davidson College,2016,DEM,16,110,14097.00
Davidson College,2016,REP,1,1,250.00
